ID,Indoor.Total.Illumin.Diff.pct.,Indoor.Total.Illumin.Diff.,Hour.number,Natural.Illuminance.,Outdoor.Sky.Clearness.,Since.DR.Started.,Lighting.Power.Diff.,Lighting.Power.Diff.pct.One.Step.
33,0.333000143,153.1376,17,241.104475,1.447089006,3,0.315,0
33,0.441162202,275.64768,15,231.0392159,2.71738195,1,0.56,0.7
33,0.44544665,275.64768,16,225.029482,2.550173022,2,0.56,0
33,0.256881923,153.1376,17,377.3720402,2.319037097,3,0.315,0
33,0.441783925,275.64768,15,230.1599044,2.526638024,1,0.56,0.7
33,0.428449973,275.64768,16,249.5778454,1.753347773,2,0.56,0
33,0.336028443,153.1376,17,236.9600888,1.423619084,3,0.315,0
33,0.458671454,275.64768,15,207.1873738,1.742407072,1,0.56,0.7
33,0.426110356,276,16,253.1103029,1.693904547,2,0.56,0
33,0.372136737,153.1376,17,192.7409559,1.452116689,3,0.315,0
33,0.442078963,275.64768,15,229.7434919,2.438307606,1,0.56,0.7
33,0.428868836,275.64768,16,248.9494965,2.172458169,2,0.56,0
33,0.298522254,153.1376,17,294.2175418,1.901592224,3,0.315,0
33,0.46934405,275.64768,15,193.5216897,1.65073674,1,0.56,0.7
33,0.451874865,275.64768,16,216.2264787,1.531534694,2,0.56,0
33,0.290047853,153.1376,17,309.2055685,1.902702239,3,0.315,0
33,0.447030274,275.64768,15,222.8373149,1.177796658,1,0.56,0.7
33,0.462119524,275.64768,16,202.7032835,1.243263738,2,0.56,0
33,0.413906743,153.1376,17,151.2129261,1.121153093,3,0.315,0
33,0.460626774,275.64768,15,204.6363108,1.812070396,1,0.56,0.7
33,0.457148964,275.64768,16,209.1888453,1.371359355,2,0.56,0
33,0.360839426,153.1376,17,205.624649,1.426282052,3,0.315,0
33,0.453210228,275.64768,15,214.4291165,3.021663227,1,0.56,0.7
33,0.455263255,275.64768,16,211.6863628,2.563209892,2,0.56,0
33,0.294561832,153.1376,17,301.1146979,1.872145451,3,0.315,0
33,0.432764167,275.64768,15,243.1642352,1.238232376,1,0.56,0.7
33,0.464240003,275.64768,16,199.9787546,1.229732515,2,0.56,0
33,0.45229248,153.1376,17,119.812911,1.071515056,3,0.315,0
33,0.46066805,275.64768,15,204.5826923,1.659392573,1,0.56,0.7
33,0.446545765,275.64768,16,223.5063567,1.606089166,2,0.56,0
