economy,pc_tmp_low,pc_tmp_high,tmp,lgt,daylt,choice,plug
-4000,3,-3,-4,-0.15,20,0,0
9900,-3,2,4,0,20,1,0
-6800,0,-2,-5,0,20,1,0
500,0,0,2,-0.15,20,1,0
1900,3,-3,-4,-0.3,20,0,0
-400,1,0,-5,0,20,0,0
0,0,1,-2,0,30,0,0
9950,-3,0,5,-0.35,30,0,0
-9900,2,0,-1,-0.35,30,0,0
6000,0,0,4,-0.3,30,0,0
-6500,-2,2,3,0.4,30,1,0
0,0,0,-2,0.35,30,1,0
100,0,0,-6,0.2,30,0,0
2000,0,1,-1,0.7,30,1,0
0,0,0,0,-0.35,47,1,0
-950,0,-1,-1,-0.4,47,0,0
0,-3,1,6,-0.15,47,0,0
-4800,0,0,-3,0,47,0,0
6800,0,0,2,-0.2,47,1,0
0,0,-1,-3,0.15,47,1,0
9500,0,2,5,0.7,47,1,0
500,0,2,1,0.7,47,1,0
0,2,0,-4,-0.5,50,1,0
1000,0,0,-3,0.5,50,0,0
