datetime,ID,Vintages,Day.type,Day.number,Hour.number,Climate.zone,Demand.Power.sf.,Indoor.Temp.F.,Tzonei,Nat.Lt.,Base.Lt.,Indoor.Humid.,Outdoor.Temp.F.,Outdoor.Humid.,Outdoor.Sky.Clearness.,Occ.Fraction.,Cooling.Setpoint.,Lighting.Power.pct.,Ventilation.pct.,MELs.pct.
2006-04-05 11:00:00,21,2004,1,1,0,3A,85.61052462767547,72.5502446250373,75.19638352795684,1221.8639260228833,0.9,37.253887707855064,46.04,74.0,1.243746652601824,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-05 12:00:00,21,2004,1,1,0,3A,92.61925332022994,72.35280224412183,74.92524635293967,1156.0514589331583,0.9,33.615364013272576,50.0,57.0,3.538194877769842,0.48562699290545497,24.0,0.9,1.0,0.8
2006-04-05 13:00:00,21,2004,1,1,0,3A,90.11001305458791,73.15292060184498,75.18865850607328,1139.731589161205,0.9,30.497431618597254,50.0,43.0,2.737235641792148,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-05 14:00:00,21,2004,1,1,0,3A,86.52474108393004,73.29929735919286,75.19564501995212,1078.9409591883048,0.9,29.85572277381741,51.08,41.0,3.95074165045234,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-05 15:00:00,21,2004,1,1,0,3A,85.84768192278192,73.54743765254264,75.19740351422884,933.4825916205475,0.9,28.661414200249705,50.0,41.0,4.776178202060059,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-05 16:00:00,21,2004,1,1,0,3A,89.08269962155782,73.59704869272824,75.19710172515674,1034.4517972438061,0.9,27.93889844889433,50.0,39.0,3.079857336010779,0.9226912865203643,24.0,0.9,1.0,0.9
2006-04-05 17:00:00,21,2004,1,1,0,3A,71.32824786141768,72.10257007013657,74.45311861191712,1499.6894313668283,0.5,25.657283971018384,50.0,39.0,1.640072600295848,0.291376195743273,24.0,0.5,1.0,0.5
2006-04-05 18:00:00,21,2004,1,1,0,3A,46.04818551606037,71.87459190870021,73.94622502701473,1423.8788771387494,0.3,22.743356678882517,48.02,41.0,1.905229083482137,0.097125398581091,24.0,0.3,1.0,0.4
2006-04-05 19:00:00,21,2004,1,1,0,3A,46.4919741227816,71.46527794390221,73.74381813932649,261.5535966741755,0.3,21.102903807978983,46.04,40.0,2.286719974182996,0.097125398581091,24.0,0.3,1.0,0.4
2006-04-05 20:00:00,21,2004,1,1,0,3A,59.839812051852945,71.09434324908707,73.50566367832012,0.0,0.2,20.774341459885893,42.08,49.0,0.0,0.097125398581091,24.0,0.2,1.0,0.4
